0.029951   75.0e-6     21.766	0.021766					
0.026383   75.0e-6     20.525	0.020525					
0.026095   75.0e-6     20.277	0.020277					
0.043292   75.0e-6     27.067	0.027067					
0.0093180  75.0e-6     13.703	0.027400					
0.020273   75.0e-6     17.721	0.035400					
0.031522   75.0e-6     22.695	0.022695					
0.014679   75.0e-6     15.753	0.031400					
0.037164   75.0e-6     25.184	0.025184					
0.025724   75.0e-6     20.596	0.020596					
0.025664   75.0e-6     19.920	0.019920					
0.037002   75.0e-6     24.967	0.024967					
0.014481   75.0e-6     14.939	0.030000					
0.031162   75.0e-6     22.749	0.022749					
0.019925   75.0e-6     17.249	0.034400					
0.0089763  75.0e-6     13.340	0.026700					
0.042495   75.0e-6     26.847	0.026847					
0.025322   75.0e-6     19.969	0.019969					
0.0095159  75.0e-6     13.600	0.027200					
0.0094739  75.0e-6     13.508	0.027000					
0.014894   75.0e-6     15.448	0.030000					
0.012826   75.0e-6     14.957	0.030000					
0.012808   75.0e-6     14.302	0.029000					
0.047250   75.0e-6     27.542	0.027542					
0.047220   75.0e-6     27.505	0.027505					
0.018348   75.0e-6     16.989	0.032000					
0.018330   75.0e-6     16.921	0.034000					
0.041254   75.0e-6     26.514	0.026514					
0.041230   75.0e-6     26.600	0.026600					
0.023973   75.0e-6     18.366	0.036000					
0.023955   75.0e-6     18.969	0.038000					
0.035383   75.0e-6     24.589	0.024589					
0.035359   75.0e-6     24.314	0.024314					
0.052826   75.0e-6     27.085	0.027085					
0.052796   75.0e-6     26.975	0.026975					
0.058678   75.0e-6     25.669	0.025669					
0.058660   75.0e-6     25.621	0.025621					
0.064543   75.0e-6     23.157	0.023157					
0.064513   75.0e-6     23.071	0.023071					
0.070443   75.0e-6     20.227	0.020227					
0.070395   75.0e-6     20.445	0.020445					
0.067391   75.0e-6     21.951	0.021951					
0.067373   75.0e-6     22.002	0.022002					
0.061431   75.0e-6     24.492	0.024492					
0.061395   75.0e-6     24.593	0.024593					
0.046650   75.0e-6     27.489	0.027489					
0.046638   75.0e-6     27.365	0.027365					
0.046614   75.0e-6     27.466	0.027466					
0.012034   75.0e-6     13.680	0.027000					
0.011992   75.0e-6     13.849	0.028000					
0.011950   75.0e-6     14.068	0.028000					
0.025262   75.0e-6     20.755	0.020755					
0.025166   75.0e-6     20.718	0.020718					
