    1.2420E-02  60e-6    1.3227E+01   0.13
    1.5480E-02  68e-6    1.5174E+01   0.15
    1.8600E-02  77e-6    1.5790E+01   0.16
    2.0700E-02  82e-6    1.7328E+01   0.17
    2.1780E-02  85e-6    1.7378E+01   0.17
    2.4900E-02  93e-6    1.8234E+01   0.18
    2.8020E-02  102e-6    1.9699E+01   0.20
    2.9100E-02  105e-6    2.0129E+01   0.20
    3.1200E-02  110e-6    2.1804E+01   0.22
    3.3240E-02  116e-6    2.2911E+01   0.23
    3.4260E-02  118e-6    2.1594E+01   0.21
    3.7380E-02  127e-6    2.3803E+01   0.24
    4.0500E-02  135e-6    2.5309E+01   0.25
    4.1580E-02  138e-6    2.5725E+01   0.26
    4.3680E-02  143e-6    2.5930E+01   0.26
    4.5720E-02  149e-6    2.5899E+01   0.26
    4.6800E-02  152e-6    2.5439E+01   0.25
    4.9980E-02  161e-6    2.6833E+01   0.27
    5.4180E-02  172e-6    2.5526E+01   0.26
    5.6220E-02  177e-6    2.6602E+01   0.27
    5.8260E-02  183e-6    2.5886E+01   0.26
    6.2400E-02  193e-6    2.4608E+01   0.25
    6.5400E-02  202e-6    2.3429E+01   0.23
    6.6600E-02  205e-6    2.2901E+01   0.23
    6.9000E-02  211e-6    2.1818E+01   0.22
    7.5000E-02  227e-6    1.9229E+01   0.20
    8.0400E-02  242e-6    1.6970E+01   0.17
    8.1600E-02  245e-6    1.6604E+01   0.17
    8.5800E-02  256e-6    1.4961E+01   0.15
    8.7600E-02  261e-6    1.4266E+01   0.14
    9.1800E-02  272e-6    1.2897E+01   0.13
    9.3600E-02  277e-6    1.2332E+01   0.12
    9.7200E-02  287e-6    1.1024E+01   0.11
    1.0020E-01  295e-6    1.0626E+01   0.11
    1.0380E-01  304e-6    9.9085E+00   0.10
    1.0980E-01  320e-6    8.9950E+00   0.09
    1.2300E-01  356e-6    6.7947E+00   0.07
    1.3620E-01  392e-6    5.4398E+00   0.05
    1.5060E-01  430e-6    4.4269E+00   0.04
    1.6560E-01  470e-6    3.5523E+00   0.04
    1.8120E-01  512e-6    2.8963E+00   0.03
    1.9740E-01  555e-6    2.5082E+00   0.03
    2.1420E-01  600e-6    2.1603E+00   0.02
